Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%CPT.COS.Analysis.BasicBlock.BuilderFrame,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.CommandArray,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.Block,%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.BasicBlock.TreeReader.RestOfLine,%CPT.COS.Analysis.BasicBlock.TreeReader.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.BlockDictionary,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.Condition.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.Condition.Expression,%CPT.COS.Analysis.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Condition.None,%CPT.COS.Analysis.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.Do,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.Goto,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.IfElse,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.Next,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.Quit,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Edge.ZTrap,%CPT.COS.Analysis.Edge.Abstract,,,,,TRUE,,,
%CPT.COS.Analysis.Graph,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.SSA.Scanner,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.SSA.Symbol,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.SSA.SymbolDef,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.SSA.SymbolTable,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Analysis.Test,,TRUE,,,,,,,
%CPT.COS.Analysis.Util,,TRUE,,,,TRUE,,,
%CPT.COS.Analysis.SSA.SymbolUse,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Language.Abstract,%Library.RegisteredObject,,,,,TRUE,,,
%CPT.COS.Language.Command.Abstract,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.DO,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.ELSEline,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.GOTO,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.IFline,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.LOCK,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.QUIT,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.SET,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Command.Stub,%CPT.COS.Language.Command.Abstract,,,,,TRUE,,,
%CPT.COS.Language.CommandArgument.DOTag,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Condition.Abstract,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Condition.Expression,%CPT.COS.Language.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Condition.ListExpressions,%CPT.COS.Language.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Language.LVar,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Condition.Timeout,%CPT.COS.Language.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Misc.ActualParameters,%CPT.COS.Language.Condition.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Misc.ByRefLvn,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Misc.ClassNameComponent,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Misc.GvnRef,%CPT.COS.Language.Abstract,,,,,TRUE,,,
%CPT.COS.Language.Misc.LvnRef,%CPT.COS.Language.Abstract,,,,,TRUE,,,
